央视,#genre#
燕双鹰专场,http://data.3g.yy.com/live/hls/1352227153/1352227153
神探狄仁杰,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351755386
神探狄仁杰,http://data.3g.yy.com/live/hls/1351755386/1351755386
神探狄仁杰,http://106.53.212.251/daili/yy.php?id=1351755386
神探狄仁杰,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=38338029
纪晓岚,http://106.53.212.251/daili/yy.php?id=63826933
纪晓岚,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1354143978
纪晓岚,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1352227227
西游记后传,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1353392400
天龙八部,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351814644
鹿鼎记,http://106.53.212.251/daili/yy.php?id=28265277
鹿鼎记,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=28265277
金庸剧,http://data.3g.yy.com/live/hls/1382704650/1382704650
射雕英雄传,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1354210357
神雕侠侣倚天屠龙,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1351762426
医馆笑传,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=38525272
医馆笑传,http://106.53.212.251/daili/yy.php?id=38525272
隋唐英雄,http://jxiptv.xn--9kqp7k2rd.com/svip/yy.php?t=1352475619
灵魂喜剧《地下交通站》,http://106.53.212.251/daili/yy.php?id=29907996
新三国,http://106.53.212.251/daili/yy.php?id=29216766
收视冠军,http://lvbaiducdncmn.inter.iqiyi.com/tslive/c56_lb_230_720P_t10/c56_lb_230_720P_t10.m3u8
凛冬之地,http://maomao.kandiantv.cn/douyu1.php?id=8945323
血色浪漫,http://106.53.212.251/daili/yy.php?id=1382655207
我爱我家,http://106.53.212.251/daili/yy.php?id=1353085648
雍正王朝,http://106.53.212.251/daili/yy.php?id=26650882
鬼吹灯,http://maomao.kandiantv.cn/douyu1.php?id=9292503

4K,#genre#

CCTV-4K,http://159.75.85.63:5679/cctv4k.php
CCTV-4K,http://159.75.85.63:5681/sxg.php?id=ys4Kcq_2000
CCTV-4K,http://15.4.8.199:5678/cctv4k.php
CCTV-4K,http://15.4.8.199:5678/cctv4k2.php
CCTV-4K,https://live.v1.mk/api/bestv.php?id=cctv4k/15000000
CCTV16-4K,http://live.cooltv.top/tv/aishang.php?id=cctv164k
CCTV16-4K,http://159.75.85.63:5681/sxg.php?id=CCTV-16-4K_8000
CCTV16-4K,https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000
